法規上公道走行が可能な車両で1台ずつタイムアタックをする自動車競技。モンテ・カルロのレースや、パリ・ダカール間のレースが有名。ドライバーと、進路案内を行うコ・ドライバーの二名が車両に搭乗して行う。,ラリー,,
原野・砂漠・山岳地帯・ジャングルなど、自然環境の中で行われる自動車のラリー競技。,ラリーレイド（クロスカントリーラリー）,,
四輪のすべてに回転を伝えて走る自動車。,4WD,,
F1モナコグランプリ、ル・マン24時間耐久レースと共に、世界三大レースの一つとして数えられる、アメリカ最大のモータースポーツイベント。優勝者は表彰式でミルクを飲んで祝う。,インディ500（インディアナポリス500マイル・レース）,,
自動車競走専用に製造された単座席のレーシングカー。タイヤが露出し，屋根がない。そのレースの最高峰はF1。日本ではスーパーフォーミュラなどのレースが開催されている。,フォーミュラカー,,
長距離を高速で走れる高性能車。レースに出場が可能なくらいチューンアップした、市販の高性能車。GT。,グランツーリスモ,,
元来は旅行に適した自動車のこと。レース用車両としては，市販を目的とした量産車をもとに改造を加えた自動車をいう。,ツーリングカー,,
アメリカで生まれた、4分の1マイルの直線路で加速力を競う自動車レース。,ドラッグレース,,
自動車レースに出場する車両の分類・規格などについての公認審査のこと。,ホモロゲーション,,
長さ、面積、体積および質量の単位、標準、ならびにこれらの計量器について定められた慣習や制度。,度量衡,,
英国の土木・造船技術者。グレート・ウェスタン号（世界最初の大西洋定期汽船）などを建造した。,イザムバード・キングダム・ブルネル,,
1950年代に見られるようになった建築様式。荒々しさを残した打放しコンクリートなどを用いた彫塑的な表現を特徴とする。モダニズム建築が本来の機能主義を離れる傾向があった事に対して生まれた。,ブルータリズム,,
円を基調としたロゴタイプやシンボルのこと。蛇の目と通称されることもある軍用機の国籍マークに代表されるほか、ロンドン地下鉄などにも採用されている。,ラウンデル,,
イギリスとヨーロッパ大陸を結ぶ高速列車。,ユーロスター,,
写真の四隅や輪郭をぼかしたもの。また、その効果。,ビネット,,
迷器ともいう。硬骨魚キノボリウオ類の上鰓器官で，キノボリウオが陸上に出たとき，口から吸込んだ空気を呼吸する補助呼吸器官となる。,迷路器官,,生物
自発的に生じる空間的パターンのこと。サバやジンベエザメなどの模様を説明できる。,チューリングパターン,,生物
生物に測器を取り付けてその行動や生態を調査する手法。,バイオロギング,,生物
水域の生物のうち、水面を生息の場とするもの。,ニューストン,,生物
液体の運動によって、液中が局部的に低圧となって、気泡を生じる現象。,キャビテーション,,生物
生体のもつ優れた機能や形状を模倣し、工学・医療分野に応用すること。,バイオミメティクス,,生物
ギリシア神話の復讐の女神たち。クロノスがウラノスの局部を切落したときの血のしたたりを受けた大地から生れたとされる。普通はアレクト，ティシフォネ，メガイラの3人とされる,エリニュス,,神話
ギリシア神話の英雄。ゼウスがアソポス川の娘アイギナをさらったのをみて，父の河神に告げ口したうえに，これを罰しようとしてゼウスが彼のもとに送った死神タナトスを捕え，その解放を強制されて死ななければならないはめに陥っても，冥府でハデスをだまし，また地上に帰り長生きしてしまうなど，生前に神々を愚弄し続けたため，死後冥府で，頂上に着くとまた転がり落ちてくる岩を何度でも山の上に押上げる苦役に服すことになった。,シシュフォス,,神話
インターネットからLANへの不正侵入の実態を把握するために、おとり調査のような形で不正侵入者の行動を記録するシステム。,ハニーポット,,
コンピュータのセキュリティ上、問題となりそうなソフトウェアの欠陥のこと。,セキュリティホール,,
鎖式化合物（脂肪族化合物）の主鎖（もっとも長い鎖）から枝分れしている炭素鎖のこと。よくRで表される。,側鎖,,生物
動物が自分の体内では合成できず，食物として摂取しなければならないアミノ酸。,必須アミノ酸,,生物
 蛋白質を構成しているアミノ酸の結合形式。二つのアミノ酸の一方のアミノ基と他方のカルボキシル基から水分子を失ってできた結合。,ペプチド結合,,生物
タンパク質分子のポリペプチド鎖がとる基本的な構造。アミノ酸残基のカルボニル基とイミノ基間の水素結合により，らせん構造が形成される。平面的なβシートも知られる。,αヘリックス,,生物
S-S結合．SH基を有するアミノ酸であるシステインどうしの結合で，ペプチドやタンパク質の立体構造の安定化に寄与する。,ジスルフィド結合,,生物
酵素の、特定の物質にのみ作用して化学反応を起こさせるという特徴のこと。,基質特異性,,生物
脊椎動物の胃液に含まれている代表的な消化酵素。,ペプシン,,生物
唾液アミラーゼのこと。デンプンをマルトースやデキストリンに変える加水分解酵素。,プチアリン,,生物
膵臓より分泌される強力な蛋白分解酵素。,トリプシン,,生物
酸化反応，重合反応，連鎖反応，あるいは生体内反応の反応速度を低下させる物質の総称。酵素のインヒビターなど。,阻害剤,,生物
セロハン膜などの半透膜を通して溶液中のタンパク質，酵素などの高分子化合物（コロイド粒子）と，電解質，糖分などの低分子化合物とを分ける操作。,透析,,生物
酵素のタンパク質部分（アポ酵素）と可逆的に結合して酵素作用の発現に寄与する補欠分子族。普通はアポ酵素のみでは活性をもたないが、両者が結合すると複合体（ホロ酵素）を形成して酵素作用を示すようになる。,補酵素,,生物
生体の生理機能の恒常性を保つしくみ。最終代謝産物が代謝初期に働く酵素の活性を調節したりすること。,フィードバック制御,,生物
神経系を構成する基本単位。神経細胞ともいう。ここから伸びる突起を軸索という。,ニューロン,,生物
ニューロン間の接合部のこと。神経繊維の興奮がその末端の小胞に達すると神経伝達物質が放出され，間隙を経て，後膜の受容体に結合して，電位を発生させる。,シナプス,,生物
細胞内で、ATPの加水分解で放出される化学エネルギーを力学エネルギーに変換、様々な細胞運動をつかさどるたんぱく質の総称。キネシン・ダイニン・ミオシンなどがある。,分子モーター（モーターたんぱく質）,,生物
細胞膜に存在するタンパク質。受容体からの信号を伝達する機能をもつ。エピネフリン（アドレナリン），グルカゴンなどのホルモン受容体からの信号を受けてアデニル酸シクラーゼを活性化するものなど。,Gタンパク質,,生物
細胞内で代謝制御に働く情報伝達物質。ホルモンなどの情報伝達物質 (1次伝達物質) が細胞表面の受容体に結合するとその刺激によって合成される。グリコーゲンの分解を促進するcAMP（サイクリックAMP）などが知られる。,セカンドメッセンジャー,,生物
リンパ球が産生する、免疫応答の調節に関与する物質。T細胞やマクロファージの増殖・活性化、B細胞の分化、インターフェロン分泌促進などの作用を示す。,インターロイキン,,生物
たんぱく質が大小2つの基本単位で構成されている場合の、分子量の大きい方のこと。短い方はL鎖という。,H鎖,,生物
動物細胞の表面にあって，遺伝的に決定された組織適合性（移植片に対する拒絶反応を起こすか否か）を支配する抗原。その遺伝子はMHC（ヒトの場合はHLA）と呼ばれる。Tリンパ球が免疫的に自己と非自己を認識する上で重要な役割も果たしている。,組織適合抗原,,生物
細胞膜タンパク質。細胞外マトリックスタンパク質に対する受容体としてはたらき，細胞接着に重要な役割を果たす。,インテグリン,,生物
生物体が外界から摂取した物質に化学変化を与えて、自己に役だつ物質に変えることをいう。植物では、炭酸同化、窒素同化などがこれにあたる。,同化,,生物
光合成などの光化学反応において、反応速度と波長との関係を表すスペクトル。,作用スペクトル,,生物
光合成の明反応の一部として行われるアデノシン三リン酸 ATPの生成。光による葉緑素の励起と水の光分解によって生じた水素あるいは電子が，葉緑体中の電子伝達系を流れるに伴って，その際の酸化反応の自由エネルギーの放出によって，アデノシン二リン酸＋無機リン酸→ATPが進行する。,光リン酸化,,生物
光合成の明反応に相当する炭酸固定回路。化学合成細菌も同じ回路を用いる。１．３分子のCO2が３分子のリブロース-1.5-二リン酸（RuBP）と反応して６分子の3-ホスホグリセリン酸（PGA）ができる。２．これが６分子のATPおよびNADPHによって還元されて６分子のグリセルアルデヒド-3-リン酸（GAP）になる。３．GAP5分子からリブロース-5-リン酸３分子がつくられ，その過程でRuBPが再生される。残りはグルコース1-リン酸を経てスクロース，デンプン，セルロースへと変る。,カルビン・ベンソン回路,,生物
葉緑体に存在し、C3回路において植物によるCO2固定の最初の反応を触媒する。,RuBisCO（ルビスコ）,,生物
酸化酵素の一群で，分子状酵素による酸化反応を触媒する酵素。,オキシゲナーゼ,,生物
光合成能率の高い特有の反応経路をもつ植物群。トウモロコシ，サトウキビなど，強光下で育つ重要な作物がこれに属する。,C4植物,,生物
植物の一群。夜間に気孔を開いて二酸化炭素を取り込み、昼間に気孔を閉じて水分の損失を防ぐ。慢性的に水分が不足する砂漠の多肉植物や着生植物に見られる。,CAM植物,,生物
光合成細菌に含まれるクロロフィルのこと。水の代わりに硫化水素を用いて光合成を行う。,バクテリオクロロフィル,,生物
有鬚ゆうしゅ動物の巨大種の英名。熱水噴出孔から採取された。,チューブワーム（ハオリムシ）,,生物
マメ科植物の根についてこぶを作らせ，その中に生息しながら共生の関係を結ぶ細菌の総称。宿主から無窒素化合物，塩類，水をもらい，一方空気中の窒素を固定して宿主に与える。,根粒菌,,生物
体内にもっとも多量に存在する補酵素で、酸化還元反応を行う。発酵，解糖，酸化的リン酸化反応などに関係し，ミトコンドリアに特に多く含まれる。分子式はC21H27N7014P2である。,NAD,,生物
糖や脂肪酸などの有機物が呼吸により完全酸化される最も重要な回路。解糖によってグルコースから生じたピルビン酸はアセチルCoAとなって本回路に入り，オキザロ酢酸と結合してクエン酸になる。以後脱炭酸，脱水素を受けながら回路状の反応系を一巡し，その結果１分子のピルビン酸から３分子の二酸化炭素，２分子の水，15分子のATPを生じる。これを提唱したクレブスはノーベル賞を受賞している。,クエン酸（TCA）回路,,生物
生体での酸化還元反応において、電子や水素が次々に受け渡されて行われる反応系。細胞呼吸の呼吸鎖、光合成などにみられる。水素イオンがチャネル（ATP合成酵素）を通過する際にATPが合成される。酸素を要する。,電子伝達系,,生物
高等動植物とほとんどの微生物で行われる、グルコースからピルビン酸を経て乳酸を生じる嫌気的代謝経路。,解糖（乳酸発酵）,,生物
酵母を好気的条件に移すとアルコール生産とグルコース消費が激減する現象。嫌気的代謝（アルコール発酵）より好気的代謝の方が高能率なので起こる。,パスツール効果,,生物
微生物による炭水化物の無酸素的分解現象（発酵）の一種。炭水化物→ピルビン酸→（脱炭酸）→アルデヒド→（還元）→アルコールの順に反応が起こる。最終産物は二酸化炭素とエタノール。,アルコール発酵,,生物
核酸のヌクレオチド同士を結びつける結合のこと。,ホスホジエステル結合,,生物
二本鎖DNAをほどいて一本鎖の状態にする反応を触媒する酵素で，DNAの複製に際して複製点で作用する。,ヘリカーゼ,,生物
DNAの合成に際して形成されるポリヌクレオチド断片。DNAの合成は常に5′末端から3′末端へとヌクレオチド鎖が伸長していく。したがって，DNAが複製するときに二本鎖の片方は，連続的に塩基が結合される（リーディング鎖）が，反対側の鎖は構造上それが不可能（ラギング鎖）なので，真核生物ではポリヌクレオチドの断片を作ってそれを結合して合成する。,岡崎フラグメント,,生物
『旧約聖書』の「創世記」4章に登場するアダムとエバ（イブ）の長子。神が弟アベルの供え物だけを喜んだ事に嫉妬し、人類最初の殺人事件を起こした。,カイン,,神話
イスラエル民族の伝説的な始祖。神の命でカナンの地に行き、神と契約を結んだ。息子はイサク。,アブラハム,,神話
イスラエル民族の始祖。イサクの子で、兄から食物と引換えに長子権を得、のち神的体験によりイスラエルと改名。,ヤコブ,,神話
旧約聖書中の人物。ヤコブの子。父から特にかわいがられたため他の兄弟たちに憎まれ、エジプトに売られたが、のち宰相となって国を飢饉から救った。,ヨセフ,,神話
ユダヤ教の祭日の一つ。奴隷状態にあったユダヤ民族のエジプト脱出を記念する。神がエジプト中の初子を殺したとき，仔羊の血を門口に塗ったユダヤ人の家だけは過ぎ越したという故事にちなむ。,過越の祭,,神話
古代イスラエルにおいて、その初期に、モーセの十戒が刻まれた2枚の石板が納められていたという木製の箱のこと。,契約の箱,,神話
旧約聖書中に登場するモーセの兄。《出エジプト記》ほかでモーセの協力者，最初の大祭司として現れる。,アロン,,神話
旧約聖書に登場する、ユダヤの荒野に住むという悪霊。贖いの日に、祭司アロンは、民の罪を負わせたヤギをそのもとへ送ったという。「スケープゴート」の典拠。,アザゼル,,神話
DNAの遺伝情報がmRNAに転写される際に余分なものを切り離して再度つなぎ合わされること。RNAがmRNAになる過程で，イントロン部分が切断除去され、エクソンだけが残る。,スプライシング,,生物
細胞内に大量に存在するRNAの一種で、アミノ酸を結合し、タンパク質の合成の場（リボソーム）に供給する。アンチコドンを持つ。,tRNA,,生物
スペイン生れのアメリカの生化学者。RNAの試験管内合成に成功し，1959年ノーベル生理医学賞。,セベロ・オチョア,,生物
アメリカの分子生物学者。人工RNAからタンパク質を合成することに成功し、同じく遺伝暗号の解読に努めたコラーナらとともに1968年にノーベル生理学医学賞を受賞した。,マーシャル・ニーレンバーグ,,生物
遺伝子のうち、構造遺伝子の形質発現を調節する機能をもつもの。プロモーターやオペレーターなどがある。,調節遺伝子,,生物
原核細胞の遺伝子の転写調節を説明するために，1961年，J. F.ジャコブと J. L.モノが提唱した仮説。発現を抑えたいときはオペレーターにリプレッサーが結合してRNAポリメラーゼの進行を阻む。,オペロン説,,生物
一本鎖の相補的な配列をもつDNA鎖同士が二本鎖を形成すること。,アニーリング,,生物
耐熱性ポリメラーゼという酵素を利用し、操作時の反応温度を変化させることにより、極少量のDNAもしくはRNAの特定の配列を倍々で増加させる方法。これを発明したキャリー・マリスはノーベル賞を受賞している。,PCR法（ポリメラーゼ連鎖反応法）,,生物
二重螺旋DNA鎖中の特定の塩基配列を認識して、鎖の内部を切断するエンドヌクレアーゼ。細菌がウイルス DNAに侵入されたとき，これを切断して身を守る。遺伝子組み換えなどで用いられる。,制限酵素,,生物
病原体を媒介する動物や、組換えDNA実験における遺伝子の運び手（プラスミドなど）のこと。,ベクター,,生物
ATPなどの高エネルギー結合の加水分解により遊離されたエネルギーを利用して2個の分子を結合させる反応を触媒する酵素の総称。DNA鎖の修復や遺伝子組み換えなどに役立つ。,リガーゼ,,生物
その植物のではない、外来の遺伝子を組み込まれ、作出された植物。アグロバクテリウムを利用し、特定の遺伝子を植物体に送り込んで形質転換を図る手法が知られる。,トランスジェニック植物,,生物
英国の容認標準語の発音。パブリックスクールのアクセント、BBC英語などをさし、これを話す人は教養ある人と一般に認められる。,RP、クイーンズイングリッシュ,,
皮をはいだ麻の茎。盂蘭盆うらぼんの門火かどびをたくときなどに用いる。,おがら,,
孔子の最愛の弟子。一を聞いて十を知る俊秀であった。,顔回,,神話
『旧約聖書』の最初の五つの書「創世記」「出エジプト記」「レビ記」「民数記（荒野を40年間放浪した後、約束の地カナンを臨むストーリー）」「申命記」に対する総括的名称。,モーセ五書,,神話
『旧約聖書』において、モーセに率いられてエジプトを脱出したイスラエルの先祖が、神ヤーウェと契約を結び、モーセを介して十戒をはじめとする諸律法を神から与えられた、とされる場所。,シナイ山,,神話
旧約聖書中の人物。モーセの後継者として、古代イスラエルの民のカナン入植を指揮した。,ヨシュア,,神話
『旧約聖書』の「士師記」に登場する英雄的人物。愛人デリラの裏切りで，怪力の秘密である長髪を失い，ペリシテ人に捕らえられ盲目にされた。しかし最後に神の助けで無数のペリシテ人を殺し，自らも死んだ。,サムソン,,神話
イスラエル初代の国王。預言者サムエルによって王位につき、ペリシテ人の攻勢と対抗、王国の基礎をつくった。人々に愛されるようになった部下の将ダビデが主とともにあるのをみて嫉妬し，彼を殺そうとしたが果せず、やがてペリシテ人との戦いに敗れて自殺した。,サウル,,神話
イスラエル王国第2代目の王。エルサレムを占領して統一国家を築いた。ペリシテ人の巨人ゴリアテを石投げ器で討った話や、ウリヤの妻バテシバの入浴の姿を見てこれに欲情し，預言者ナタンの忠告に悔い改めた話などエピソードは多い。,ダビデ,,神話
前 10世紀頃在世したソロモンの母。軍人ウリヤの美貌の妻であったが，ダビデと姦通し，ソロモンを産んだ。,バテシバ,,神話
前9世紀中頃のヘブライの預言者。腐敗の危機にさらされていたヤハウェ信仰を、フェニキアの自然宗教バール信仰の侵害とたたかいつつ再確立した。,エリヤ,,神話
旧約時代最大の預言者の一人。ユダ王国の危機に際してはひたすら神を信じ，他国の援助を仰ぐべきでないと主張した。エレミア・エゼキエル・ダニエルとともに，ユダ王国の四大預言者と呼ばれる。,イザヤ,,神話
イスラエル王国の預言者。アッシリアの都ニネベ滅亡の預言を神ヤーウェに命じられたが、その使命を回避すべくヨッパの港から船出して海に逃れた。,ヨナ,,神話
『旧約聖書』の登場人物。彼は義人であったが、すべての財産、家庭および健康を失った。これに対し友人たちは、彼の不幸が罪の結果であり、彼に悔い改めを忠告する。しかし彼は、友人の、応報観に根ざした常識的な説得にいっそう苦悩し、神の義がどこにあるかを模索する。,ヨブ,,神話
航空機が離陸した後の3分間と、着陸する前の8分間を合わせた11分間。航空機事故がもっとも起こりやすい時間帯であることをさす。この時間帯は低空域での飛行であるため、雷や突風、バードストライクといった偶発的な現象の起こる可能性が高く、また、自動操縦から手動操作に切り替わることによる人的ミスも発生しやすい。,クリティカル・イレブンミニッツ（魔の11分）,,
航空機が高度約3000メートル以下を飛行する間、客室乗務員からコックピットへの連絡を原則として禁止すること。,ステライルコックピット,,
飛行中、失速しスピン状態になったパラグライダーの翼がフラットな状態でコマの様にスピンする現象。,フラットスピン,,
風、潮流などによる横流がある時、進路を保つためにとる舵。,当舵,,
性を異にする生物からつくられ、互いに合体して新しい個体を発生させるための生殖細胞をいう。,配偶子,,生物
真核生物のうち動物・植物・菌類のどれにも属さないものの総称。ミドリムシや変形菌・細胞性粘菌、ミズカビ、および藻類のうち珪藻・渦鞭毛藻・海藻類などが含まれる。,原生生物,,生物
下等の多細胞動物において個体の一部に芽体という小突起を生じ，それが原個体と同様な形に成長して独立すること。単細胞生物や植物でも似たような現象が起こる。動物ではカイメン、ヒドラ、ホヤなど。,出芽,,生物
無性生殖の一種で，多細胞生物の体の一部（生殖器官以外の栄養体）から新個体のつくられることをいう。コケ植物の無性芽による増殖，イモ類の塊茎や塊根，オニユリのむかごなどがその例。株分けやさし木などはこの応用。,栄養生殖,,生物
植物、特に菌類・藻類における生殖細胞または生殖器官が合体すること。,接合,,生物
生物の生活機能を営むうえで必要な遺伝子を含む1組の染色体。通常の生物の体細胞は，2組もつことになる。,ゲノム,,生物
対になった形質を支配する遺伝子。相同染色体上の同じ遺伝子座に位置する。,対立遺伝子,,生物
アメリカの生物学者。遺伝は染色体上に線条に配列した遺伝子の挙動によって説明できるという遺伝子説を確立し、その功績でノーベル生理学・医学賞を受賞した。,トーマス・モーガン,,生物
互いに連鎖する遺伝子の一群のそれぞれの遺伝子の位置を、染色体上の相対的な順序や距離に従って1本の直線上に模式的に描いたもの。組換えの頻度，すなわち交叉価によって相対的距離を決定して作成する。,染色体地図,,生物
生殖細胞のもとになる細胞。雌では卵原細胞・卵母細胞を経て卵子に分化し、雄では精原細胞・精母細胞・精細胞を経て精子に分化する。,始原生殖細胞,,生物
動物の卵母細胞が減数分裂によって卵になる過程でできる三個の小さな細胞。卵母細胞の第二分裂後に退化、消滅する。,極体,,生物
受精後，卵からそのまわりに形成される膜。多精拒否に役立つ。,受精膜,,生物
多細胞動物の卵細胞で極体を生じる場所。発生初期の胚で，これに相当する部に対しても用いる。この区域は多くは外胚葉を形成する。,動物極,,生物
多細胞動物の発生の初期に受精卵が分裂を繰り返して胞胚になるまでの過程をいう。,卵割,,生物
多細胞動物の発生初期の胚。受精卵の分裂によって生じた相当数の細胞が中央に卵割腔を形成しクワの実状に集まったもの。,桑実胚,,生物
動物発生における原腸胚の陥入口。脊椎動物や棘皮動物などの新口動物はここが肛門になる。,原口,,生物
原索動物および脊椎(せきつい)動物で、神経板が形成されてから神経管が完成する時期までの胚をいう。,神経胚,,生物
原索動物および脊椎動物の胚の中軸にあって体を支える組織をいう。発生時，外胚葉の陥入で生じる神経管に沿って中胚葉からつくられる。脊椎動物では，円口類を除き，幼生期が過ぎると脊索のまわりに椎骨ができ，脊椎が形成されると退化してしまう。,脊索,,生物
動物の胚で、原腸胚期以後ある期間、胚の外側を覆う層状の細胞集団。脳、神経管をつくり、さらに脳の働きかけで、目、鼻などをつくる。胚表面のものは表皮や表皮の構造物をつくる組織となる。,外胚葉,,生物
動物の胚葉の一つで、嚢胚期以後のある期間、原腸をつくりあげている細胞集団をいう。脊椎動物の場合，消化管と付属腺 (膵臓，肝臓) や甲状腺，胸腺へと分化する。,内胚葉,,生物
生物が正しく発生，分化していくためのカギとなる遺伝子。,ホメオティック遺伝子,,生物
各種の生物の体節構造を決定する遺伝子群に共通する塩基配列。生物に普遍的に存在する形態形成遺伝子として注目されている。,ホメオボックス,,生物
主に節足動物で、ある体節が他の体節の構造を示す現象。昆虫の触角の再生で歩脚が生じるなど。,ホメオーシス,,生物
動物の胚の一部で、周囲の胚域に働きかけ、特定の器官の形成を誘導する作用をもつ部分。,形成体,,生物
ドイツの動物発生学者。局所生体染色法を両生類胚に適用し、胚のどの位置の細胞が将来のどの器官になるかを示した原基図（予定運命図）を作製した。,ヴァルター・フォークト,,生物
ドイツの動物発生学者。形成体発見の功績によって，ノーベル生理学・医学賞を受賞した。,ハンス・シュペーマン,,生物
文章や詩の各行の先頭または末尾の文字をつなげると、ある語句になるという言葉遊び。,アクロスティック,,
短歌・俳句・川柳などの各句の初めに、物の名や地名などを1字ずつ置いて詠んだもの。,折句,,
ユダヤ教の祭日。ユダヤ人を滅ぼそうとしたペルシアの高官ハマンを呪い，ハマンの悪計からユダヤ人を救った王妃エステルとその養父モルデカイをたたえる。旧約聖書の《エステル記》による。,プリム祭,,神話
ウェブサイトのページ構成の一で、長い文章などを複数のページに分割して表示するもの。,ページネーション,,神話
イスラエル十二部族の一。のち、この部族からダビデが出て統一王国を建設。,ユダ,,神話
イエスに洗礼を施した、ユダヤ人の祭司。,バプテスマのヨハネ,,神話
イスラエル民族が守ったユダヤ三大祭の一つ。出エジプトにおける荒野の生活の経験を記念する。,仮庵の祭,,神話
ユダヤ人が宗教的指導者に対して用いる敬称。転じて、ユダヤ教の聖職者。,ラビ,,神話
ユダヤ教の三大祝日の一つ。モーゼがシナイ山で十戒を受けたことを記念する。,五旬節,,神話
『使徒行伝』に見られる会議。ユダヤ人でないキリスト教徒に対してユダヤの律法を守る必要がないとした。使徒会議とも呼ばれる。,エルサレム集会,,神話
キリスト教の使徒。熱心なパリサイ派であったが、劇的な回心ののち、キリスト教のローマ帝国内への普及に貢献した。《ローマ人への手紙》など14の書簡は新約聖書の重要な部分をなす。同行者のテトスやテモテらもよく知られる。,パウロ,,神話
神からの喜ばしい救いの知らせをもたらした神の子イエス・キリストの教えと生涯についての人々の証言の記録。それぞれマタイ、マルコ、ルカ、ヨハネの名前を冠せられている。,福音書,,神話
イエスの十二使徒の筆頭。ローマ教会初代の教皇とされる。,ペテロ,,神話
十二使徒の一人。使徒ヨハネの兄。イエスの最初の弟子の一人となり、殉教。,ゼベダイのヤコブ,,神話
十二使徒の一人。イエスの一団の会計係。銀30枚でイエスを裏切って敵に渡した。のちに後悔して自殺。,イスカリオテのユダ,,神話
新約聖書の最後の一書。ローマの迫害下にある小アジアの諸教会のキリスト教徒に激励と警告を与えるために書かれた。この世の終末と最後の審判、キリストの再臨と神の国の到来、信仰者の勝利など、預言的内容が象徴的表現で描かれている。著者はヨハネとされるが不明。,黙示録,,神話
神が悪魔と戦って勝つ、聖書における世界最終戦争の場所の名。転じて、世界の終わり。「ヨハネの黙示録」による。,ハルマゲドン,,神話
アイスランドに伝えられた、北欧神話および英雄伝説の歌謡の集成。,エッダ,,神話
北欧神話の巨魔。世界の南のはてにある火焔界ムスペルヘイムの支配者。ラグナレクの決戦には，火の巨人たちの軍勢を率いて参加し，フレイ神と戦ってこれを倒したのちに，世界を焼き滅ぼす。,スルト,,神話
北欧神話の巨人の祖。巨人ボルの息子たちであるオーディン、ビリ、ベーらによって殺され、その身体からは大地、血からは海と湖、そして骨からは岩がそれぞれつくられた。さらに頭蓋骨からは天が、まつげからはミドガルド（人間界）がつくられた。,イミル,,神話
オーディンを主神とする北欧神話の神々の集団。世界の中心アースガルズに住み，バン神族に対立する。,アース神族,,神話
北欧神話の主神。2本の流木から最初の人間をつくった。天上のワルハラ宮殿に住み、世界中を飛ぶ2羽のカラス、フギンとムニンによってさまざまな情報を得る。また八本足の怪馬スレイプニルに乗り、グングニルという槍と、9夜ごとにまったく同じものを八つ生むという黄金の腕輪ドラウプニルを持つ。世界の終末には巨人族と戦い、オオカミのフェンリルに飲み込まれてしまうが、子のビーザルがその仇を討つ。水曜日を表す英語の由来になっている。,オーディン,,神話
北欧神話の知恵者の巨人。世界樹ユグドラシルの一つの根のそばにある泉を守っていた。この泉の水は知恵と知識をたくわえていたので，より多くの知識を得たいと思ったオーディンは，片眼と引替えに泉の水を飲ませてもらったという。,ミミル,,神話
北欧神話の女神。神々の王オーディンの妻で，結婚と家庭内における主婦の地位の守護女神。金曜日を意味する英語の由来。,フリッグ,,神話
北欧神話の光明の神。オーディンとフリッグの息子で，アサ神族のなかで最も美しいとされる。オーディンの最愛の子だったが，悪神ロキの悪巧みにより，盲目の兄弟ヘズルの手にかかって非業の死をとげた。,バルドル,,神話
北欧神話の神。投げればかならず敵を倒す槌ミョルニルが有名。世界の終末にはミドガルドの大蛇を倒すが、その毒によって自らも命を落とす。木曜日を意味する英語の由来。,トール,,神話
北欧神話の戦士の神。ギリシアのゼウスと同語源の名で，古くは天空神であったと思われる。フェンリルを縛るときに片手を失った。火曜日を意味する英語の由来。,チュール,,神話
北欧神話の主神オーディンに仕える武装した乙女たち。戦場で倒れた勇士たちを天上の宮殿ワルハラに導く。,ワルキューレ,,神話
北欧神話に出てくる世界樹。3本の太い根をもち，1本は神界に，1本は巨人の国ヨツンヘイムに，もう1本は死人の国ニフルヘイムに伸びている。世界の終末にはこの樹は震え、巨人スルトの火で焼かれる。,イグドラシル,,神話
北欧神話の運命の女神。3人姉妹で，名をそれぞれウルズ (過去) ，ベルザンディ (現在) ，スクルド (未来) という。世界樹イグドラシルの根元にあるウルズの泉のほとりに住み，泉の水を樹に注いで枯れぬようにしている。,ノルン,,神話
北欧神話のアース神族の居所。世界樹イグドラシルの高みにあり，外界とは虹の橋でつながる。,アースガルズ,,神話
北欧神話の神。豊穣神の種族であるバナ神族の統領で，フレイ神とフレイヤ女神の父。アサ神族とバナ神族が太古に戦ったのち和睦すると，2柱の子の神たちとともにアスガルズに住み，アサ神族のなかで主神格の地位を与えられた。,ニヨルズ,,神話
北欧神話の神。冥界の女王ヘル，フェンリル，ミズガルズへびなど多くの怪物の父とされる。オーディンの息子バルドル神を殺害した罰として神々により岩につながれた。,ロキ,,神話
北欧神話で神と人間の世界の終末を表すことば。オーディン，トール，フレイらの神々とスルト，ロキ，フェンリル狼，ミズガルズ蛇ら巨人族，怪物が死力を尽くして戦い，最後に天地は炎上して滅びる。,ラグナロク,,神話
被子植物の胚珠の中にできる雌性配偶体。胚珠の珠心中の１細胞が特に大きくなって，減数分裂をし，４細胞となり，その中の１個だけが生き残って，他は退化消失，この１細胞が核分裂を３回続けて行い８核となる。８核のうち，上部の３核と下部の３核は１核１細胞の形をとり，残りの２核は中央に位置し極核となって，１つの細胞を形成する。上部3つのうち1つが卵細胞になる。,胚のう,,生物
被子植物に特有な受精の形式。胚嚢はいのう内で2個の精核が、1個は卵細胞と、他の1個は2個の極核に由来する中心核と合体する現象。受精卵は胚に、受精した中心核は胚乳に発達する。,重複受精,,生物
植物の花弁、萼片、雄しべ、雌しべがA、B、Cの3つの遺伝子の機能の組み合わせによって決定されているという説。すなわちAのみがはたらくと萼片が、AとBがはたらくと花弁、BとCがはたらくと雄しべ、Cだけがはたらくと雌しべができるという仮説。,ABCモデル,,生物
落葉の促進，ジベレリン作用の抑制などさまざまな生理的反応を制御する植物ホルモン。とくに種子では胚の未熟発芽を防ぎ、完熟種子の休眠状態を維持するために必要である。,アブシシン酸,,生物
植物ホルモンの一つ。。細胞の伸長や発芽などを促進。また種なしブドウ作成に用いられる。,ジベレリン,,生物
植物ホルモンの一種。とくに低濃度で茎の細胞伸長を促進する。屈性が起こる原因。,オーキシン,,生物
光エネルギーの受容体として働く色素たんぱく質。植物の屈光性、気孔の開閉などに関与する。,フォトトロピン,,生物
